form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong167,mu,2.pl.1.sg.nfut.aff,nanamu,nanaΣ,na+na+Σ,n a n a Σ,n a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong168,mu,2.pl.1.pl.nfut.aff,nanamu u,nanaΣ u,na+na+Σ+u,n a n a Σ u,n a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong169,mu,2.pl.1.pl.nfut.aff,nanamu,nanaΣ,na+na+Σ,n a n a Σ,n a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong170,mu,2.sg.3.sg.nfut.aff,namu,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong171,mu,2.sg.3.pl.nfut.aff,namu,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong172,mu,2.pl.3.sg.nfut.aff,namu u,naΣ u,na+Σ+u,n a Σ u,n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong173,mu,2.pl.3.sg.nfut.aff,namu,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong174,mu,2.pl.3.pl.nfut.aff,namu u,naΣ u,na+Σ+u,n a Σ u,n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong175,mu,2.pl.3.pl.nfut.aff,namu,naΣ,na+Σ,n a Σ,n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong176,se,3.sg.nfut.aff,ase,aΣ,a+Σ,a Σ,a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong177,se,3.pl.nfut.aff,ase u,aΣ u,a+Σ+u,a Σ u,a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong178,mu,3.sg.1.sg.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong179,mu,3.sg.1.pl.nfut.aff,anamu u,anaΣ u,a+na+Σ+u,a n a Σ u,a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong180,mu,3.pl.1.sg.nfut.aff,anamu u,anaΣ u,a+na+Σ+u,a n a Σ u,a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong181,mu,3.pl.1.sg.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong182,mu,3.pl.1.pl.nfut.aff,anamu u,anaΣ u,a+na+Σ+u,a n a Σ u,a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong183,mu,3.pl.1.pl.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong184,mu,3.sg.2.sg.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong185,mu,3.sg.2.pl.nfut.aff,anamu u,anaΣ u,a+na+Σ+u,a n a Σ u,a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong186,mu,3.sg.2.pl.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong187,mu,3.pl.2.sg.nfut.aff,anamu u,anaΣ u,a+na+Σ+u,a n a Σ u,a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong188,mu,3.pl.2.sg.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong189,mu,3.pl.2.pl.nfut.aff,anamu u,anaΣ u,a+na+Σ+u,a n a Σ u,a + n a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong190,mu,3.pl.2.pl.nfut.aff,anamu,anaΣ,a+na+Σ,a n a Σ,a + n a + Σ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong191,mu,3.sg.3.sg.nfut.aff,amu,aΣ,a+Σ,a Σ,a + Σ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong192,mu,3.sg.3.pl.nfut.aff,amu u,aΣ u,a+Σ+u,a Σ u,a + Σ + u,,unspecified,,Brown2025Ranglong,nopage,ranglong
